,0
2020-04-08,1
2020-04-10,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-20,1
2020-04-21,1
2020-04-22,2
2020-04-30,2
2020-05-04,1
2020-05-08,1
2020-05-12,1
2020-05-13,1
2020-05-14,1
2020-05-19,1
2020-05-21,1
2020-05-23,1
2020-05-25,1
2020-05-26,1
2020-05-29,2
2020-05-30,2
2020-06-01,2
2020-06-05,1
2020-06-06,1
2020-06-08,3
2020-06-10,1
2020-06-11,1
2020-06-14,1
2020-06-20,1
2020-06-21,1
2020-06-22,4
2020-06-27,1
2020-06-28,1
2020-06-29,3
2020-06-30,1
2020-07-01,1
2020-07-02,2
2020-07-08,1
2020-07-09,5
2020-07-12,1
2020-07-13,1
2020-07-15,2
2020-07-17,1
2020-07-18,2
2020-07-19,1
2020-07-20,1
2020-07-21,3
2020-07-23,1
2020-07-30,2
2020-08-02,2
2020-08-05,1
2020-08-12,1
2020-08-17,1
2020-08-18,1
2020-08-29,2
2020-08-30,1
2020-08-31,1
2020-09-02,1
2020-09-03,1
2020-09-04,1
2020-09-05,1
2020-09-07,1
2020-09-12,3
2020-09-14,1
2020-09-15,1
2020-09-18,2
2020-09-21,1
2020-09-23,1
2020-09-25,1
2020-10-01,3
2020-10-02,2
2020-10-03,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-10,5
2020-10-11,1
2020-10-12,1
2020-10-16,1
2020-10-17,1
2020-10-23,3
2020-10-24,1
2020-10-31,1
2020-11-02,1
2020-11-04,2
2020-11-05,1
2020-11-08,1
2020-11-09,1
2020-11-10,22
2020-11-11,2
2020-11-16,3
2020-11-17,3
2020-11-18,2
2020-11-23,1
2020-11-24,4
2020-11-28,1
2020-11-29,1
2020-12-01,3
2020-12-02,1
2020-12-08,1
2020-12-11,1
2020-12-12,1
2020-12-14,2
2020-12-17,1
2020-12-20,3
2020-12-22,2
2021-01-05,2
2021-01-07,4
2021-01-12,1
2021-01-14,1
2021-01-15,1
2021-01-16,2
2021-01-17,1
2021-01-18,1
2021-01-20,2
2021-01-23,1
2021-01-25,1
2021-01-26,5
2021-01-27,2
2021-01-28,1
2021-01-29,1
2021-01-30,1
2021-01-31,1
2021-02-01,1
2021-02-02,3
2021-02-05,4
2021-02-06,4
2021-02-07,1
2021-02-10,1
2021-02-21,2
2021-02-22,1
2021-02-23,1
2021-03-04,1
2021-03-07,2
2021-03-09,1
2021-03-10,1
2021-03-11,1
2021-03-12,1
2021-03-13,5
2021-04-03,1
2021-05-02,1
